quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
-0.090846,0.089547,-0.201494,0.971148,0.015965,0.003871,-0.012404,0.001556,0.000962,-0.002206,0.137318,0.212536,-0.967457,0.1377521753562096
-0.090674,0.089553,-0.201619,0.971138,0.018369,0.004611,-0.009898,-0.000123,0.000593,-6.8e-05,0.137374,0.212224,-0.967517,0.13780922414559008
-0.090454,0.089532,-0.201727,0.971138,0.018174,0.003344,-0.007746,1.2e-05,0.000896,0.000485,0.137402,0.211809,-0.967604,0.1378378824015485
-0.090235,0.089511,-0.201835,0.971138,0.017979,0.002077,-0.005595,0.000148,0.001199,0.001038,0.13743,0.211394,-0.967691,0.13786622918493874
-0.090059,0.089501,-0.201882,0.971145,0.012784,0.00331,-0.002148,0.001239,0.001424,-0.0008,0.137474,0.211059,-0.967758,0.1379110653795561
-0.089933,0.08949,-0.201916,0.971151,0.009678,0.002334,-0.004494,0.001742,0.000102,-0.000959,0.137499,0.210816,-0.967807,0.1379357674696467
-0.08988,0.089516,-0.201989,0.971138,0.004131,0.007107,-0.008057,0.002421,-0.001926,-0.003067,0.137554,0.210735,-0.967817,0.1379927620835054
-0.089855,0.089554,-0.202077,0.971118,0.00549,-0.00052,-0.009267,4.6e-05,-0.003644,0.001967,0.13762,0.210714,-0.967812,0.13805789078033262
-0.089798,0.089423,-0.20222,0.971106,0.011265,-0.017952,-0.015236,-0.001987,-0.003895,0.003634,0.137361,0.210573,-0.96788,0.13779618083794565
-0.089757,0.089241,-0.202357,0.971098,0.00808,-0.01803,-0.012393,1.2e-05,-0.000302,-0.000811,0.136998,0.210443,-0.967959,0.13742979530653746
-0.089728,0.089168,-0.202421,0.971094,-0.003316,0.001905,-0.005068,0.003287,0.003406,-0.008811,0.136856,0.210367,-0.967996,0.13728620068930608
-0.089813,0.08931,-0.202366,0.971085,-0.019852,0.010584,0.010715,-1.2e-05,0.004424,-0.005353,0.137104,0.210579,-0.967915,0.13753822732244778
-0.090031,0.089459,-0.202213,0.971083,-0.031524,0.005508,0.009871,-0.002116,0.002789,-0.002788,0.137334,0.211034,-0.967783,0.1377687513204868
-0.090341,0.089506,-0.202127,0.971067,-0.032301,-0.010501,0.000121,-0.002296,0.000591,0.003226,0.137312,0.211637,-0.967654,0.13774713069671857
-0.090696,0.089512,-0.202115,0.971036,-0.036913,-0.004679,-0.001998,0.000307,0.001689,0.001272,0.137176,0.212321,-0.967524,0.13761060841111
-0.091067,0.089571,-0.202105,0.970998,-0.032221,-0.004685,-0.005254,0.000123,0.001534,0.002201,0.137137,0.213057,-0.967368,0.13756985008194084
-0.091342,0.089497,-0.202139,0.970972,-0.014896,-0.014546,-0.00801,-0.00122,4.3e-05,0.003307,0.13687,0.213562,-0.967294,0.13730158998677464
-0.091457,0.089338,-0.202185,0.970966,-7e-06,-0.018203,-0.004996,-0.000539,0.001445,0.000659,0.136506,0.213729,-0.967309,0.13693338690751133
-0.091501,0.089152,-0.202187,0.970979,0.000735,-0.014259,0.00228,0.000264,0.005962,-0.003545,0.136128,0.213743,-0.967359,0.136552794475698
-0.091541,0.089091,-0.202089,0.971001,-0.001905,-0.00628,0.011298,0.00141,0.004971,-0.003454,0.136017,0.213781,-0.967366,0.1364389633621361
-0.091564,0.08907,-0.201967,0.971026,-0.000971,-0.008699,0.008816,-0.00294,0.0034,-0.0014,0.135993,0.2138,-0.967365,0.1364154619727024
-0.091557,0.088965,-0.201923,0.971046,0.006476,-0.004451,-0.00022,0.00028,0.001245,-0.00434,0.135804,0.21374,-0.967405,0.13622421543994978
-0.091492,0.088921,-0.201924,0.971056,0.009339,0.001674,0.004433,6.2e-05,0.001396,-0.003402,0.135745,0.213599,-0.967444,0.136166070381261
-0.091394,0.089061,-0.201883,0.97106,0.011407,0.016627,0.009222,5.8e-05,0.001893,-0.002627,0.136066,0.213458,-0.96743,0.1364887437903832
-0.091129,0.089056,-0.201854,0.971092,0.020883,0.010016,0.009947,0.000565,0.001545,-0.001535,0.136174,0.212942,-0.967529,0.13659803346820693
-0.090863,0.089051,-0.201825,0.971123,0.03036,0.003404,0.010671,0.001072,0.001196,-0.000444,0.136282,0.212425,-0.967627,0.13670752078447032
-0.090545,0.089058,-0.201758,0.971166,0.032445,0.009001,0.010335,0.00134,-0.001304,-0.001278,0.136445,0.211805,-0.96774,0.1368707943726946
-0.090186,0.089072,-0.201715,0.971207,0.032449,0.006535,0.005805,0.000991,-0.001104,-0.000793,0.136631,0.211113,-0.967865,0.13705967807670547
-0.0899,0.089068,-0.201724,0.971232,0.025404,0.004246,0.003189,0.00035,-0.00039,-0.00028,0.136741,0.210561,-0.96797,0.1371711710291715
-0.089713,0.089109,-0.201722,0.971246,0.012496,0.01257,0.002021,0.002552,0.000944,-0.00431,0.136899,0.210217,-0.968023,0.13733061011875505
-0.089627,0.089235,-0.201779,0.971231,0.003328,0.015919,-0.000942,0.002499,0.001403,-0.004161,0.137165,0.210108,-0.968008,0.13759970425785945
-0.089541,0.08936,-0.201836,0.971215,-0.005839,0.019269,-0.003905,0.002445,0.001862,-0.004012,0.137431,0.209999,-0.967994,0.1378666791161271
-0.089561,0.08952,-0.201903,0.971185,-0.009872,0.013151,-0.006525,0.001673,0.001797,2.7e-05,0.137716,0.210109,-0.96793,0.13815476129591361
-0.089663,0.089662,-0.201995,0.971143,-0.012055,0.012211,-0.008532,0.00279,0.00084,-0.000573,0.137926,0.210373,-0.967843,0.13836738909870108
